millis,stamp,datetime,degree,distance
1015,1694973376,2023/9/17 17:56,46,30
2002,1694973377,2023/9/17 17:56,97,21
2036,1694973377,2023/9/17 17:56,98,21
3009,1694973378,2023/9/17 17:56,149,23
4021,1694973379,2023/9/17 17:56,160,448
5012,1694973380,2023/9/17 17:56,109,20
6014,1694973381,2023/9/17 17:56,57,29
7012,1694973382,2023/9/17 17:56,6,20
8017,1694973383,2023/9/17 17:56,45,30
9008,1694973384,2023/9/17 17:56,96,21
9040,1694973384,2023/9/17 17:56,97,4
10012,1694973385,2023/9/17 17:56,148,23
11020,1694973386,2023/9/17 17:56,162,21
12019,1694973387,2023/9/17 17:56,112,20
13001,1694973388,2023/9/17 17:56,61,18
13039,1694973388,2023/9/17 17:56,60,29
14011,1694973389,2023/9/17 17:56,10,21
15001,1694973390,2023/9/17 17:56,40,40
15035,1694973390,2023/9/17 17:56,41,30
16008,1694973391,2023/9/17 17:56,91,23
17018,1694973392,2023/9/17 17:56,144,22
18009,1694973393,2023/9/17 17:56,167,21
19009,1694973394,2023/9/17 17:56,118,20
20012,1694973395,2023/9/17 17:56,66,29
21002,1694973396,2023/9/17 17:56,15,11
21036,1694973396,2023/9/17 17:56,14,20
22011,1694973397,2023/9/17 17:56,37,31
23009,1694973398,2023/9/17 17:56,88,23
24016,1694973399,2023/9/17 17:56,141,21
25011,1694973400,2023/9/17 17:56,168,20
26008,1694973401,2023/9/17 17:56,119,19
27009,1694973402,2023/9/17 17:56,67,29
28010,1694973403,2023/9/17 17:56,16,20
29014,1694973404,2023/9/17 17:56,36,37
30009,1694973405,2023/9/17 17:56,87,23
31019,1694973406,2023/9/17 17:56,140,21
32016,1694973407,2023/9/17 17:56,170,21
33008,1694973408,2023/9/17 17:56,119,20
34009,1694973409,2023/9/17 17:56,67,29
35008,1694973410,2023/9/17 17:56,16,20
36004,1694973411,2023/9/17 17:56,35,40
37012,1694973412,2023/9/17 17:56,86,23
38020,1694973413,2023/9/17 17:56,139,21
39017,1694973414,2023/9/17 17:56,170,21
40011,1694973415,2023/9/17 17:56,120,19
41014,1694973416,2023/9/17 17:56,68,29
42006,1694973417,2023/9/17 17:56,17,10
43005,1694973418,2023/9/17 17:56,34,71
44017,1694973419,2023/9/17 17:56,82,28
45005,1694973420,2023/9/17 17:57,134,20
45039,1694973420,2023/9/17 17:57,135,20
46006,1694973421,2023/9/17 17:57,177,20
46040,1694973421,2023/9/17 17:57,176,20
47003,1694973422,2023/9/17 17:57,128,20
47037,1694973422,2023/9/17 17:57,127,20
48014,1694973423,2023/9/17 17:57,76,29
49015,1694973424,2023/9/17 17:57,25,23
